Train no,Train Name,arrival,Station Code,Zone,duration_m,Station Name,departure,return_train,Destination Station,Destination Station Name,Distance
51464,Belgaum Miraj Passenger,18:00:00,BGM,CR,30,BELGAUM,14:30:00,51463,MRJ,MIRAJ JN,137
51601,Bina Katni Passenger,13:45:00,BINA,CR,50,BINA JN,05:55:00,51602,KTE,KATNI,263
51602,Katni Bina Passenger,06:40:00,KTE,CR,25,KATNI,22:15:00,51601,BINA,BINA JN,263
51605,Katni Chirmiri Passenger,00:31:00,KTE,CR,1,KATNI,16:30:00,51606,CHRM,Chirmiri,254
51607,Bina Guna Passenger,10:05:00,BINA,CR,5,BINA JN,07:00:00,51608,GUNA,GUNA,118
51608,Guna Bina Passenger,14:10:00,GUNA,WCR,25,GUNA,10:45:00,51607,BINA,BINA JN,118
51609,Bina Guna Passenger,18:10:00,BINA,WCR,0,BINA JN,15:10:00,51608,GUNA,GUNA,118
51610,Guna Bina Passenger,21:45:00,GUNA,CR,0,GUNA,18:45:00,51609,BINA,BINA JN,118
51611,KOTA - BINA Passenger,17:20:00,KOTA,WCR,15,KOTA JN,08:05:00,51612,BINA,BINA JN,303
51612,BINA - KOTA Passenger,19:20:00,BINA,CR,35,BINA JN,10:45:00,51611,KOTA,KOTA JN,303
51614,KATNI - KOTA Passenger,06:50:00,KMZ,WCR,30,KATNI MURWARA,17:20:00,51613,KOTA,KOTA JN,455
51632,Bina Bhopal Passenger,21:05:00,BINA,WCR,5,BINA JN,17:00:00,51631,BPL,BHOPAL JN,138
51674,SATNA - ITARSI Passenger,23:15:00,STA,CR,45,SATNA,13:30:00,51673,ET,ITARSI JN,434
51675,Katni Chopan Fast Passenger,06:05:00,KTE,CR,20,KATNI,20:45:00,51676,CPU,CHOPAN,326
51676,Chopan Katni Passenger,08:25:00,CPU,CR,47,CHOPAN,23:38:00,51675,KTE,KATNI,326
51677,Chopan Shaktinagar Passenger,12:40:00,CPU,CR,20,CHOPAN,10:20:00,51678,SKTN,Shakti Nagar,83
51678,Shaktinagar Chopan Passenger,15:50:00,SKTN,CR,40,Shakti Nagar,13:10:00,51677,CPU,CHOPAN,83
51683,Khandwa Bir Shuttle,09:50:00,KNW,CR,55,KHANDWA,08:55:00,51684,BIR,Bir,33
51684,Bir Khandwa Shuttle,07:30:00,BIR,CR,50,Bir,06:40:00,51685,KNW,KHANDWA,33
51685,Khandwa Bir Shuttle,14:00:00,KNW,CR,50,KHANDWA,13:10:00,51684,BIR,Bir,33
51686,Bir Khandwa Shuttle,10:50:00,BIR,CR,45,Bir,10:05:00,51685,KNW,KHANDWA,33
51687,Khandwa Bir Shuttle,19:00:00,KNW,CR,50,KHANDWA,18:10:00,51686,BIR,Bir,33
51688,Bir Khandwa Shuttle,16:10:00,BIR,CR,55,Bir,15:15:00,51687,KNW,KHANDWA,33
51689,Khandwa Bir Shuttle,21:20:00,KNW,CR,45,KHANDWA,20:35:00,51688,BIR,Bir,33
51701,JABALPUR - REWA Passenger,13:10:00,JBP,WCR,40,JABALPUR,07:30:00,51702,REWA,REWA,238
